ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2015-09-25 00:00:00,1d,XBTUSD,239.99,239.99,234.81,235.2,190090,19148,0,0,0,0,0,0,19148
2015-09-26 00:00:00,1d,XBTUSD,235.29,235.36,232.91,234.51,258488,-63058,0,0,0,0,-49687,0,-13371
2015-09-27 00:00:00,1d,XBTUSD,233.98,234.76,233.03,233.29,161013,-38595,0,0,0,0,-34096,0,-4499
2015-09-28 00:00:00,1d,XBTUSD,233,243.19,232.9,240.07,319143,44909,0,0,0,-50648,0,0,95557
2015-09-29 00:00:00,1d,XBTUSD,240.28,241.5,235.81,237,368771,-142467,0,0,0,-69745,0,0,-72722
2015-09-30 00:00:00,1d,XBTUSD,237,238.2,235.56,236.55,294736,-52556,0,0,0,-54773,0,0,2217
2015-10-01 00:00:00,1d,XBTUSD,236.57,239.53,234.63,238.1,180356,-68390,0,0,0,-52005,0,0,-16385
2015-10-02 00:00:00,1d,XBTUSD,238.1,238.99,237.09,238,133911,-34425,0,0,0,0,0,-22774,-11651
2015-10-03 00:00:00,1d,XBTUSD,238,241,237.53,239.67,127411,-19415,0,0,0,0,-33547,0,14132
2015-10-04 00:00:00,1d,XBTUSD,239.83,239.93,238.3,238.58,148659,-23627,0,0,0,0,-36539,0,12912
2015-10-05 00:00:00,1d,XBTUSD,238.55,240.85,237.77,240.85,255736,-24626,0,0,0,0,-33818,-14577,23769
2015-10-06 00:00:00,1d,XBTUSD,240.69,249,240.68,247.09,536943,25731,0,0,0,-54344,0,-11602,91677
2015-10-07 00:00:00,1d,XBTUSD,246.92,247.8,243.43,243.55,428099,-73519,0,0,0,-76534,0,0,3015
2015-10-08 00:00:00,1d,XBTUSD,244.62,245.73,243,243.19,393019,-77243,0,0,0,-64092,0,0,-13151
2015-10-09 00:00:00,1d,XBTUSD,243.27,244.91,242.99,244.4,466508,-43048,0,0,-89318,0,0,40000,6270
2015-10-10 00:00:00,1d,XBTUSD,244.85,246.08,243.77,246,300969,31523,0,0,0,0,-38464,0,69987
2015-10-11 00:00:00,1d,XBTUSD,245.76,248.56,245.18,248.13,657289,1503,0,0,-93455,0,0,25000,69958
2015-10-12 00:00:00,1d,XBTUSD,248.13,248.41,245.7,246.38,710444,-110020,0,0,-109468,0,0,296,-848
2015-10-13 00:00:00,1d,XBTUSD,246.23,251.49,244.47,250.76,1284157,-137629,0,0,0,-56965,-74402,-2874,-3388
2015-10-14 00:00:00,1d,XBTUSD,250.91,255.55,249.99,253.32,1196167,-54059,0,0,0,-70974,0,720,16195
